编号,新文件名,照片标题,原文件名
bj201,bj201.png,DSC_2935,DSC_2935.png
bj202,bj202.png,DSC_2876,DSC_2876.png
bj203,bj203.png,DSC_2989,DSC_2989.png
bj204,bj204.png,DSC_3139,DSC_3139.png
bj205,bj205.png,DSC_3223,DSC_3223.png
bj206,bj206.png,DSC_3418,DSC_3418.png
bj207,bj207.png,DSC_3488,DSC_3488.png
bj208,bj208.png,DSC_3723,DSC_3723.png
bj209,bj209.png,DSC_3761,DSC_3761.png
bj210,bj210.png,IMG_20260818_230016,IMG_20260818_230016.png
bj211,bj211.png,DSC_3815,DSC_3815.png
bj212,bj212.png,DSC_3821,DSC_3821.png
bj213,bj213.png,DSC_3849,DSC_3849.png
bj214,bj214.png,DSC_3938,DSC_3938.png
bj215,bj215.png,DSC_3977,DSC_3977.png
bj216,bj216.png,DSC_4059,DSC_4059.png
bj217,bj217.png,DSC_4050,DSC_4050.png
bj218,bj218.png,DSC_4075,DSC_4075.png
bj219,bj219.png,DSC_4236,DSC_4236.png
bj220,bj220.png,DSC_4269,DSC_4269.png
bj221,bj221.png,DSC_4286,DSC_4286.png
bj222,bj222.png,DSC_3900,DSC_3900.png
bj223,bj223.png,DSC_4430,DSC_4430.png
bj224,bj224.png,DSC_4597,DSC_4597.png
bj225,bj225.png,DSC_4611,DSC_4611.png
bj226,bj226.png,DSC_4892,DSC_4892.png
bj227,bj227.png,DSC_4922,DSC_4922.png
bj228,bj228.png,DSC_4876,DSC_4876.png
bj229,bj229.png,DSC_4931,DSC_4931.png
bj230,bj230.png,DSC_4933,DSC_4933.png
bj231,bj231.png,DSC_5003,DSC_5003.png
bj232,bj232.png,DSC_5064,DSC_5064.png
bj233,bj233.png,DSC_5108,DSC_5108.png
bj234,bj234.png,DSC_5180,DSC_5180.png
bj235,bj235.png,DSC_5284,DSC_5284.png
bj236,bj236.png,IMG_20260905_134821,IMG_20260905_134821.png
bj237,bj237.png,DSC_4951,DSC_4951.png
bj238,bj238.png,DSCe,DSCe.png
bj239,bj239.png,DSC_5127,DSC_5127.png

说明：标题取自文件名（去掉扩展名）；「原名保留」行的文件名未被改动，回滚时会自动跳过。
"回滚命令：python rename_album.py --rollback ""bj2_对照表.csv"""
