编号,新文件名,照片标题,原文件名
原名保留,五竹亭遗址.jpg,五竹亭遗址,五竹亭遗址.jpg
原名保留,圆明园 正觉寺后门.jpg,圆明园 正觉寺后门,圆明园 正觉寺后门.jpg
原名保留,圆明园 绮春园2.jpg,圆明园 绮春园2,圆明园 绮春园2.jpg
原名保留,圆明园 绮春园5.jpg,圆明园 绮春园5,圆明园 绮春园5.jpg
原名保留,圆明园 长春园.jpg,圆明园 长春园,圆明园 长春园.jpg
原名保留,圆明园 长春园2.jpg,圆明园 长春园2,圆明园 长春园2.jpg
原名保留,圆明园 长春园4.jpg,圆明园 长春园4,圆明园 长春园4.jpg
原名保留,圆明园之荷.jpg,圆明园之荷,圆明园之荷.jpg
原名保留,圆明园之荷2.jpg,圆明园之荷2,圆明园之荷2.jpg
原名保留,圆明园之莲2.jpg,圆明园之莲2,圆明园之莲2.jpg
原名保留,圆明园之莲3.jpg,圆明园之莲3,圆明园之莲3.jpg
原名保留,圆明园博物馆.jpg,圆明园博物馆,圆明园博物馆.jpg
原名保留,圆明园白骨顶鸡2.jpg,圆明园白骨顶鸡2,圆明园白骨顶鸡2.jpg
原名保留,圆明园花丛16.jpg,圆明园花丛16,圆明园花丛16.jpg
原名保留,圆明园花丛20.jpg,圆明园花丛20,圆明园花丛20.jpg
原名保留,圆明园花丛6.jpg,圆明园花丛6,圆明园花丛6.jpg
原名保留,圆明园西洋楼景区的大水法遗址2.jpg,圆明园西洋楼景区的大水法遗址2,圆明园西洋楼景区的大水法遗址2.jpg
原名保留,圆明园西洋楼景区的大水法遗址3.jpg,圆明园西洋楼景区的大水法遗址3,圆明园西洋楼景区的大水法遗址3.jpg
原名保留,圆明园鸭子1.jpg,圆明园鸭子1,圆明园鸭子1.jpg
原名保留,圆明园鸭子与锦鲤2.jpg,圆明园鸭子与锦鲤2,圆明园鸭子与锦鲤2.jpg
原名保留,圆明园鸳鸯.jpg,圆明园鸳鸯,圆明园鸳鸯.jpg
原名保留,圆明园鸳鸯2.jpg,圆明园鸳鸯2,圆明园鸳鸯2.jpg
原名保留,圆明园鸳鸯4.jpg,圆明园鸳鸯4,圆明园鸳鸯4.jpg
原名保留,圆明园鸳鸯5.jpg,圆明园鸳鸯5,圆明园鸳鸯5.jpg
原名保留,圆明园黑天鹅.jpg,圆明园黑天鹅,圆明园黑天鹅.jpg
原名保留,方外观.jpg,方外观,方外观.jpg
原名保留,海晏堂遗址1.jpg,海晏堂遗址1,海晏堂遗址1.jpg
原名保留,海晏堂遗址3.jpg,海晏堂遗址3,海晏堂遗址3.jpg
原名保留,海晏堂遗址4.jpg,海晏堂遗址4,海晏堂遗址4.jpg
原名保留,藻园小玳瑁.jpg,藻园小玳瑁,藻园小玳瑁.jpg
原名保留,藻园鸽子2.jpg,藻园鸽子2,藻园鸽子2.jpg
原名保留,观水法遗址1.jpg,观水法遗址1,观水法遗址1.jpg
原名保留,谐奇趣遗迹.jpg,谐奇趣遗迹,谐奇趣遗迹.jpg
原名保留,远瀛观遗址.jpg,远瀛观遗址,远瀛观遗址.jpg
原名保留,鸿慈永秙 锦鲤2.jpg,鸿慈永秙 锦鲤2,鸿慈永秙 锦鲤2.jpg
原名保留,鸿慈永秙11.jpg,鸿慈永秙11,鸿慈永秙11.jpg
原名保留,鸿慈永秙12.jpg,鸿慈永秙12,鸿慈永秙12.jpg
原名保留,鸿慈永秙13.jpg,鸿慈永秙13,鸿慈永秙13.jpg
原名保留,鸿慈永秙15.jpg,鸿慈永秙15,鸿慈永秙15.jpg
原名保留,鸿慈永秙18.jpg,鸿慈永秙18,鸿慈永秙18.jpg
原名保留,鸿慈永秙4.jpg,鸿慈永秙4,鸿慈永秙4.jpg
原名保留,鸿慈永秙7.jpg,鸿慈永秙7,鸿慈永秙7.jpg
原名保留,鸿慈永秙9.jpg,鸿慈永秙9,鸿慈永秙9.jpg
原名保留,黄花阵2.jpg,黄花阵2,黄花阵2.jpg
原名保留,黄花阵3.jpg,黄花阵3,黄花阵3.jpg

说明：标题取自文件名（去掉扩展名）；「原名保留」行的文件名未被改动，回滚时会自动跳过。
"回滚命令：python rename_album.py --rollback ""ymy260920_对照表.csv"""
