编号,新文件名,照片标题,原文件名
原名保留,佛教文物 北京非遗工艺博 明代 明永乐款铜鎏金观音菩萨立像 供奉像.jpg,佛教文物 北京非遗工艺博 明代 明永乐款铜鎏金观音菩萨立像 供奉像,佛教文物 北京非遗工艺博 明代 明永乐款铜鎏金观音菩萨立像 供奉像.jpg
原名保留,佛教文物 四川省博 唐代 菩萨残立像 供奉像.jpg,佛教文物 四川省博 唐代 菩萨残立像 供奉像,佛教文物 四川省博 唐代 菩萨残立像 供奉像.jpg
原名保留,佛教文物 国博 元代 鎏金铜水月观音像 供奉像.jpg,佛教文物 国博 元代 鎏金铜水月观音像 供奉像,佛教文物 国博 元代 鎏金铜水月观音像 供奉像.jpg
原名保留,佛教文物 国博 唐代 佛光寺东大殿模型 模型.jpg,佛教文物 国博 唐代 佛光寺东大殿模型 模型,佛教文物 国博 唐代 佛光寺东大殿模型 模型.jpg
原名保留,佛教文物 国博 唐代 南禅寺大殿模型 模型.jpg,佛教文物 国博 唐代 南禅寺大殿模型 模型,佛教文物 国博 唐代 南禅寺大殿模型 模型.jpg
原名保留,佛教文物 国博 唐代 鎏金铜毗沙门天王像 护法像.jpg,佛教文物 国博 唐代 鎏金铜毗沙门天王像 护法像,佛教文物 国博 唐代 鎏金铜毗沙门天王像 护法像.jpg
原名保留,佛教文物 国博 宋代 彩绘木雕菩萨坐像 供奉像.jpg,佛教文物 国博 宋代 彩绘木雕菩萨坐像 供奉像,佛教文物 国博 宋代 彩绘木雕菩萨坐像 供奉像.jpg
原名保留,佛教文物 国博 宋代 彩绘木雕观音菩萨坐像 供奉像.jpg,佛教文物 国博 宋代 彩绘木雕观音菩萨坐像 供奉像,佛教文物 国博 宋代 彩绘木雕观音菩萨坐像 供奉像.jpg
原名保留,佛教文物 国博 宋代 彩绘木雕观音菩萨头像 供奉像.jpg,佛教文物 国博 宋代 彩绘木雕观音菩萨头像 供奉像,佛教文物 国博 宋代 彩绘木雕观音菩萨头像 供奉像.jpg
原名保留,佛教文物 国博 宋代 彩绘木雕观音菩萨立像 供奉像.jpg,佛教文物 国博 宋代 彩绘木雕观音菩萨立像 供奉像,佛教文物 国博 宋代 彩绘木雕观音菩萨立像 供奉像.jpg
