青铜器 北京非遗工艺博 明代 明永乐款铜鎏金观音菩萨立像 供奉像.jpg 青铜器 北京非遗工艺博 明代 明永乐款铜鎏金观音菩萨立像 供奉像
青铜器 吉林省博 东汉 错金银丙午神钩铜带钩 青铜礼器.jpg 青铜器 吉林省博 东汉 错金银丙午神钩铜带钩 青铜礼器
青铜器 吉林省博 汉代 夫余鎏金铜面具 供奉像.jpg 青铜器 吉林省博 汉代 夫余鎏金铜面具 供奉像
青铜器 四川省博 战国 嵌错宴乐水陆攻战纹铜壶 盛酒器.jpg 青铜器 四川省博 战国 嵌错宴乐水陆攻战纹铜壶 盛酒器
青铜器 四川省博 西周 蟠龙盖兽面纹铜罍 盛酒器.jpg 青铜器 四川省博 西周 蟠龙盖兽面纹铜罍 盛酒器
青铜器 四川省博 西周 象首耳卷体夔纹铜罍 盛酒器.jpg 青铜器 四川省博 西周 象首耳卷体夔纹铜罍 盛酒器
青铜器 国博 元代 元鎏金铜水月观音像 供奉像.jpg 青铜器 国博 元代 元鎏金铜水月观音像 供奉像
青铜器 国博 商代 三星堆青铜人头像 祭祀用器.jpg 青铜器 国博 商代 三星堆青铜人头像 祭祀用器
青铜器 国博 商代 三星堆青铜尊 盛酒器.jpg 青铜器 国博 商代 三星堆青铜尊 盛酒器
青铜器 国博 商代 商古蜀三星堆青铜面具 祭祀用器.jpg 青铜器 国博 商代 商古蜀三星堆青铜面具 祭祀用器
青铜器 国博 商代 商妇好青铜方斝 温酒器.jpg 青铜器 国博 商代 商妇好青铜方斝 温酒器
青铜器 国博 商代 四羊方尊 盛酒器.jpg 青铜器 国博 商代 四羊方尊 盛酒器
青铜器 国博 战国 令狐君嗣子青铜壶 盛酒器.jpg 青铜器 国博 战国 令狐君嗣子青铜壶 盛酒器
青铜器 国博 战国 虎钮青铜錞于 军乐器.jpg 青铜器 国博 战国 虎钮青铜錞于 军乐器
青铜器 国博 战国 青铜冰鉴 冰镇水器.jpg 青铜器 国博 战国 青铜冰鉴 冰镇水器
青铜器 国博 春秋 兽耳青铜壶 盛酒器.jpg 青铜器 国博 春秋 兽耳青铜壶 盛酒器
青铜器 国博 春秋 栾书青铜缶 冰镇水器.jpg 青铜器 国博 春秋 栾书青铜缶 冰镇水器
青铜器 国博 春秋 郑兽钮青铜镈 乐器.jpg 青铜器 国博 春秋 郑兽钮青铜镈 乐器
青铜器 国博 春秋 青铜牺尊 盛酒器.jpg 青铜器 国博 春秋 青铜牺尊 盛酒器
