编号,新文件名,照片标题,原文件名
cq201,cq201.jpg,202601重庆元旦扫街27,202601重庆元旦扫街27.jpg
cq202,cq202.png,202601重庆元旦扫街33,202601重庆元旦扫街33.png
cq203,cq203.jpg,202601重庆元旦扫街47,202601重庆元旦扫街47.jpg
cq204,cq204.jpg,202601重庆元旦扫街48,202601重庆元旦扫街48.jpg
cq205,cq205.jpg,202601重庆元旦扫街50,202601重庆元旦扫街50.jpg
cq206,cq206.jpg,202601重庆元旦扫街51,202601重庆元旦扫街51.jpg
cq207,cq207.jpg,202604重庆金佛山沙坪坝22,202604重庆金佛山沙坪坝22.jpg
cq208,cq208.jpg,202604重庆金佛山沙坪坝26,202604重庆金佛山沙坪坝26.jpg
cq209,cq209.jpg,202604重庆金佛山沙坪坝42,202604重庆金佛山沙坪坝42.jpg
cq210,cq210.jpg,202605重庆华岩寺彩云湖01,202605重庆华岩寺彩云湖01.jpg
cq211,cq211.jpg,202605重庆华岩寺彩云湖10,202605重庆华岩寺彩云湖10.jpg
cq212,cq212.jpg,202606重庆南岸23,202606重庆南岸23.jpg
cq213,cq213.jpg,202606重庆南岸36,202606重庆南岸36.jpg
cq214,cq214.jpg,202606重庆南岸53,202606重庆南岸53.jpg
cq215,cq215.jpg,202606重庆南岸56,202606重庆南岸56.jpg
cq216,cq216.png,202601重庆元旦扫街57,202601重庆元旦扫街57.png
cq217,cq217.png,202604重庆金佛山沙坪坝44,202604重庆金佛山沙坪坝44.png
cq218,cq218.png,202606重庆南岸39,202606重庆南岸39.png
cq219,cq219.png,202606重庆南岸55,202606重庆南岸55.png

"说明：标题取自原文件名（去掉扩展名）；需要回滚时执行 python rename_album.py --rollback ""cq2_对照表.csv"""
