编号,新文件名,照片标题,原文件名
dl01,dl01.jpg,retouch_2025052423263123,retouch_2025052423263123.jpg
dl02,dl02.jpg,retouch_2025052423310547,retouch_2025052423310547.jpg
dl03,dl03.jpg,retouch_2025052423461660,retouch_2025052423461660.jpg
dl04,dl04.jpg,retouch_2025052500083030,retouch_2025052500083030.jpg
dl05,dl05.jpg,retouch_2025052500102358,retouch_2025052500102358.jpg
dl06,dl06.jpg,retouch_2025052500125262,retouch_2025052500125262.jpg
dl07,dl07.jpg,retouch_2025052500200441,retouch_2025052500200441.jpg
dl08,dl08.jpg,retouch_2025052500305995,retouch_2025052500305995.jpg
dl09,dl09.jpg,retouch_2025052500363875,retouch_2025052500363875.jpg
dl10,dl10.png,retouch_2025052500235741,retouch_2025052500235741.png
dl11,dl11.png,retouch_2025052500162577,retouch_2025052500162577.png
dl12,dl12.png,IMG_20250526_002821,IMG_20250526_002821.png
dl13,dl13.png,retouch_2025052500043083,retouch_2025052500043083.png
dl14,dl14.png,retouch_2025052423402136,retouch_2025052423402136.png

"说明：标题取自原文件名（去掉扩展名）；需要回滚时执行 python rename_album.py --rollback ""dl_对照表.csv"""
