编号,新文件名,照片标题,原文件名
原名保留,上海人民广场 地铁站.jpg,上海人民广场 地铁站,上海人民广场 地铁站.jpg
原名保留,上海外滩 夜.jpg,上海外滩 夜,上海外滩 夜.jpg
原名保留,上海外滩 日.jpg,上海外滩 日,上海外滩 日.jpg
原名保留,杭州 西湖 .jpg,杭州 西湖 ,杭州 西湖 .jpg
原名保留,杭州 西湖 其二.jpg,杭州 西湖 其二,杭州 西湖 其二.jpg
原名保留,浙江嘉兴桐乡 乌镇东栅.jpg,浙江嘉兴桐乡 乌镇东栅,浙江嘉兴桐乡 乌镇东栅.jpg
原名保留,浙江嘉兴桐乡 乌镇西栅.jpg,浙江嘉兴桐乡 乌镇西栅,浙江嘉兴桐乡 乌镇西栅.jpg
原名保留,苏州 山塘街.jpg,苏州 山塘街,苏州 山塘街.jpg
原名保留,苏州 耦园.jpg,苏州 耦园,苏州 耦园.jpg
原名保留,苏州山塘街 其二.jpg,苏州山塘街 其二,苏州山塘街 其二.jpg

说明：标题取自文件名（去掉扩展名）；「原名保留」行的文件名未被改动，回滚时会自动跳过。
"回滚命令：python rename_album.py --rollback ""1_对照表.csv"""
