编号,新文件名,照片标题,原文件名
sy201,sy201.jpg,7fcf29cbdf035a616a401b41cfcd15f,7fcf29cbdf035a616a401b41cfcd15f.jpg
sy202,sy202.jpg,IMG_20250106_203302,IMG_20250106_203302.jpg
sy203,sy203.jpg,IMG_20250106_203515,IMG_20250106_203515.jpg
sy204,sy204.jpg,b71e6fda3eb5aac3da9765e5a69dedf,b71e6fda3eb5aac3da9765e5a69dedf.jpg
sy205,sy205.jpg,eedeb0d003b4f494c81e19fd87d2775,eedeb0d003b4f494c81e19fd87d2775.jpg
sy206,sy206.jpg,retouch_2025010318263185,retouch_2025010318263185.jpg
sy207,sy207.jpg,retouch_2025010318300745,retouch_2025010318300745.jpg
sy208,sy208.jpg,retouch_2025010318324789,retouch_2025010318324789.jpg
sy209,sy209.jpg,retouch_2025010318362062,retouch_2025010318362062.jpg
sy210,sy210.jpg,retouch_2025010322281392,retouch_2025010322281392.jpg
sy211,sy211.jpg,retouch_2025010322335436,retouch_2025010322335436.jpg
sy212,sy212.jpg,retouch_2025010420391329,retouch_2025010420391329.jpg
sy213,sy213.jpg,retouch_2025010420472435,retouch_2025010420472435.jpg
sy214,sy214.jpg,retouch_2025010421122088,retouch_2025010421122088.jpg
sy215,sy215.jpg,retouch_2025010421144290,retouch_2025010421144290.jpg
sy216,sy216.jpg,retouch_2025010421164647,retouch_2025010421164647.jpg
sy217,sy217.jpg,retouch_2025010421255083,retouch_2025010421255083.jpg
sy218,sy218.jpg,retouch_2025010421273113,retouch_2025010421273113.jpg
sy219,sy219.jpg,retouch_2025010421292748,retouch_2025010421292748.jpg
sy220,sy220.jpg,retouch_2025010421344941,retouch_2025010421344941.jpg
sy221,sy221.jpg,retouch_2025010421403276,retouch_2025010421403276.jpg
sy222,sy222.jpg,retouch_2025010421462411,retouch_2025010421462411.jpg
sy223,sy223.jpg,retouch_2025010422261710,retouch_2025010422261710.jpg
sy224,sy224.jpg,retouch_2025010620041023,retouch_2025010620041023.jpg
sy225,sy225.jpg,retouch_2025010620071103,retouch_2025010620071103.jpg
sy226,sy226.jpg,retouch_2025010620104586,retouch_2025010620104586.jpg
sy227,sy227.jpg,retouch_2025010620212523,retouch_2025010620212523.jpg
sy228,sy228.jpg,retouch_2025010620244340,retouch_2025010620244340.jpg
sy229,sy229.jpg,retouch_2025010620572372,retouch_2025010620572372.jpg
sy230,sy230.jpg,retouch_2025010621035670,retouch_2025010621035670.jpg
sy231,sy231.jpg,retouch_2025010621221749,retouch_2025010621221749.jpg
sy232,sy232.jpg,retouch_2025010621252333,retouch_2025010621252333.jpg
sy233,sy233.jpg,retouch_2025010621274392,retouch_2025010621274392.jpg
sy234,sy234.jpg,retouch_2025011222051827,retouch_2025011222051827.jpg
sy235,sy235.jpg,retouch_2025011222084541,retouch_2025011222084541.jpg
sy236,sy236.jpg,retouch_2025011222153121,retouch_2025011222153121.jpg
sy237,sy237.jpg,retouch_2025011222230506,retouch_2025011222230506.jpg
sy238,sy238.jpg,retouch_2025011222332962,retouch_2025011222332962.jpg
sy239,sy239.jpg,retouch_2025011223023116,retouch_2025011223023116.jpg
sy240,sy240.jpg,retouch_2025011223044259,retouch_2025011223044259.jpg
sy241,sy241.jpg,retouch_2025011301200793,retouch_2025011301200793.jpg

说明：标题取自文件名（去掉扩展名）；「原名保留」行的文件名未被改动，回滚时会自动跳过。
"回滚命令：python rename_album.py --rollback ""sy2_对照表.csv"""
