编号,新文件名,照片标题,原文件名
原名保留,华山盛景 其九.png,华山盛景 其九,华山盛景 其九.png
原名保留,2021年 大唐不夜城.jpg,2021年 大唐不夜城,2021年 大唐不夜城.jpg
原名保留,华山盛景 其七.jpg,华山盛景 其七,华山盛景 其七.jpg
原名保留,华山盛景 其三.jpg,华山盛景 其三,华山盛景 其三.jpg
原名保留,华山盛景 其九.jpg,华山盛景 其九,华山盛景 其九.jpg
原名保留,华山盛景 其二.jpg,华山盛景 其二,华山盛景 其二.jpg
原名保留,华山盛景 其五.jpg,华山盛景 其五,华山盛景 其五.jpg
原名保留,华山盛景 其八.jpg,华山盛景 其八,华山盛景 其八.jpg
原名保留,华山盛景 其六.jpg,华山盛景 其六,华山盛景 其六.jpg
原名保留,华山盛景 其四.jpg,华山盛景 其四,华山盛景 其四.jpg
原名保留,华山盛景.jpg,华山盛景,华山盛景.jpg
原名保留,华清池景区 老蒋谏兵亭.jpg,华清池景区 老蒋谏兵亭,华清池景区 老蒋谏兵亭.jpg
原名保留,秦始皇陵兵马俑 其三.jpg,秦始皇陵兵马俑 其三,秦始皇陵兵马俑 其三.jpg
原名保留,秦始皇陵兵马俑 其二.jpg,秦始皇陵兵马俑 其二,秦始皇陵兵马俑 其二.jpg
原名保留,秦始皇陵兵马俑.jpg,秦始皇陵兵马俑,秦始皇陵兵马俑.jpg
原名保留,骊山索道.jpg,骊山索道,骊山索道.jpg

说明：标题取自文件名（去掉扩展名）；「原名保留」行的文件名未被改动，回滚时会自动跳过。
"回滚命令：python rename_album.py --rollback ""1_对照表.csv"""
