编号,新文件名,照片标题,原文件名
weiman1,weiman1.jpg,东本愿寺,东本愿寺.jpg
weiman2,weiman2.jpg,伪满中央银行旧址,伪满中央银行旧址.jpg
weiman3,weiman3.jpg,伪满交通部旧址,伪满交通部旧址.jpg
weiman4,weiman4.jpg,伪满关东军司令部旧址,伪满关东军司令部旧址.jpg
weiman5,weiman5.jpg,伪满兴农部旧址,伪满兴农部旧址.jpg
weiman6,weiman6.jpg,伪满民生部旧址,伪满民生部旧址.jpg
weiman7,weiman7.jpg,伪满皇宫 勤民楼,伪满皇宫 勤民楼.jpg
weiman8,weiman8.jpg,伪满皇宫 勤民楼2,伪满皇宫 勤民楼2.jpg
weiman9,weiman9.jpg,伪满皇宫 勤民楼勤民殿1,伪满皇宫 勤民楼勤民殿1.jpg
weiman10,weiman10.jpg,伪满皇宫 勤民楼勤民殿2,伪满皇宫 勤民楼勤民殿2.jpg
weiman11,weiman11.jpg,伪满皇宫 同德殿,伪满皇宫 同德殿.jpg
weiman12,weiman12.jpg,伪满皇宫 同德殿2,伪满皇宫 同德殿2.jpg
weiman13,weiman13.jpg,伪满皇宫 同德殿3,伪满皇宫 同德殿3.jpg
weiman14,weiman14.jpg,伪满皇宫兴运门,伪满皇宫兴运门.jpg
weiman15,weiman15.jpg,伪满皇宫同德殿 御学问所,伪满皇宫同德殿 御学问所.jpg
weiman16,weiman16.jpg,伪满皇宫缉熙楼,伪满皇宫缉熙楼.jpg
weiman17,weiman17.jpg,伪满皇宫缉熙楼2,伪满皇宫缉熙楼2.jpg
weiman18,weiman18.jpg,伪满皇宫花园,伪满皇宫花园.jpg
weiman19,weiman19.jpg,伪满综合法衙旧址,伪满综合法衙旧址.jpg
weiman20,weiman20.jpg,吉林大学基础医学院（伪满司法部旧址）,吉林大学基础医学院（伪满司法部旧址）.jpg
weiman21,weiman21.jpg,吉林大学新民校区教学楼（伪满国务院旧址）,吉林大学新民校区教学楼（伪满国务院旧址）.jpg
weiman22,weiman22.jpg,吉林大学白求恩医学部（伪满司法部旧址）,吉林大学白求恩医学部（伪满司法部旧址）.jpg
weiman23,weiman23.jpg,吉林大学白求恩第一医院（伪满军事部旧址）,吉林大学白求恩第一医院（伪满军事部旧址）.jpg
weiman24,weiman24.jpg,吉林大学第三医院（伪满经济部旧址）,吉林大学第三医院（伪满经济部旧址）.jpg
weiman25,weiman25.jpg,吉长道尹公署旧址,吉长道尹公署旧址.jpg
weiman26,weiman26.jpg,地质宫,地质宫.jpg
weiman27,weiman27.jpg,建国鬼子庙,建国鬼子庙.jpg
weiman28,weiman28.jpg,建国鬼子庙2,建国鬼子庙2.jpg
weiman29,weiman29.jpg,长春站,长春站.jpg
weiman30,weiman30.jpg,鸣放宫,鸣放宫.jpg
weiman31,weiman31.jpg,鸣放宫2,鸣放宫2.jpg
weiman32,weiman32.jpg,鸣放宫摩天轮同框,鸣放宫摩天轮同框.jpg

说明：编号按 2026-09-16 15:34 的导入时间顺序生成；标题取自原文件名（去掉扩展名），可直接作为图集照片标题。
