编号,新文件名,照片标题,原文件名
cq201,cq201.jpg,weiman32,weiman32.jpg
cq202,cq202.jpg,changchun20260916001,changchun20260916001.jpg
cq203,cq203.jpg,changchun20260916002,changchun20260916002.jpg
cq204,cq204.jpg,changchun20260916003,changchun20260916003.jpg
cq205,cq205.jpg,changchun20260916004,changchun20260916004.jpg
cq206,cq206.jpg,changchun20260916005,changchun20260916005.jpg
cq207,cq207.jpg,changchun20260916006,changchun20260916006.jpg
cq208,cq208.jpg,changchun20260916007,changchun20260916007.jpg
cq209,cq209.jpg,changchun20260916008,changchun20260916008.jpg
cq210,cq210.jpg,changchun20260916009,changchun20260916009.jpg
cq211,cq211.jpg,changchun20260916010,changchun20260916010.jpg
cq212,cq212.jpg,changchun20260916011,changchun20260916011.jpg
cq213,cq213.jpg,changchun20260916012,changchun20260916012.jpg
cq214,cq214.jpg,changchun20260916013,changchun20260916013.jpg
cq215,cq215.jpg,changchun20260916014,changchun20260916014.jpg
cq216,cq216.jpg,changchun20260916015,changchun20260916015.jpg
cq217,cq217.jpg,changchun20260916016,changchun20260916016.jpg
cq218,cq218.jpg,changchun20260916017,changchun20260916017.jpg
cq219,cq219.jpg,changchun20260916018,changchun20260916018.jpg
cq220,cq220.jpg,changchun20260916019,changchun20260916019.jpg
cq221,cq221.jpg,bowu6,bowu6.jpg
cq222,cq222.png,202601重庆元旦扫街57,202601重庆元旦扫街57.png
cq223,cq223.png,202604重庆金佛山沙坪坝44,202604重庆金佛山沙坪坝44.png
cq224,cq224.png,202606重庆南岸39,202606重庆南岸39.png
cq225,cq225.png,202606重庆南岸55,202606重庆南岸55.png

"说明：标题取自原文件名（去掉扩展名）；需要回滚时执行 python rename_album.py --rollback ""cq2_对照表.csv"""
